Countries,PERSONAL FREEDOM (Score),Procedural Justice,Civil Justice,Criminal Justice,Rule of Law,Homicide,Disappearances,Violent Conflicts,Organised Conflicts,Terrorism Fatalities,Terrorism Injuries,Disapperances  Conflicts and Terrorism,Female Genital Mutilation,Missing Women,Inheritance Rights: Widows,Inheritance Rights: Daughters,Inheritance Rights,Womens Security & Safety,Security & Safety,Domestic Movement,Foreign Movement,Womens Movement,Movement,Establishing and Operating Religious Organizations,Harassment and Physical Hostilities,Legal and Regulatory Restrictions,Religion,Association,Assembly,Political Parties,Professional Organizations,Educational Sporting and Cultural Organizations,Establishing and Operating Organizations,Association Assembly & Civil Society,Press Killed,Press Jailed,Laws and Regulations that Influence Media Content,Political Pressures and Controls on Media Content,Access to Cable/Satellite,Access to Foreign Newspapers,State Control over Internet Access,Expression & Information,Legal Gender,Parental Authority: In Marriage,Parental Authority: After Divorce,Parental Rights,Male to Male Relationships,Female to Female Relationships,SameSex Relationships,Divorce,Identity & Relationships
Saudi Arabia,4.50,,,,5.64,9.40,10.00,10.00,2.50,7.75,8.22,7.69,10.00,5.00,0.00,0.00,0.00,5.00,7.36,0.00,0.00,0.00,0.00,5.00,7.51,3.89,5.47,2.50,2.50,0.00,0.00,0.00,0.00,1.67,10.00,7.78,0.33,2.00,7.50,5.00,5.00,5.37,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Senegal,6.76,4.61,5.69,4.26,4.85,7.08,10.00,10.00,5.00,10.00,9.95,8.99,7.40,10.00,5.00,5.00,5.00,7.47,7.85,10.00,5.00,5.00,6.67,10.00,9.79,8.33,9.37,10.00,10.00,8.75,10.00,10.00,9.58,9.86,10.00,10.00,3.67,6.00,10.00,2.50,10.00,7.45,,0.00,5.00,2.50,0.00,0.00,0.00,5.00,2.50
Serbia,7.85,5.61,4.64,3.40,4.55,9.55,10.00,10.00,7.50,10.00,10.00,9.50,10.00,10.00,5.00,10.00,7.50,9.17,9.40,10.00,10.00,10.00,10.00,7.50,9.07,7.97,8.18,7.50,7.50,7.50,7.50,7.50,7.50,7.50,10.00,10.00,6.00,4.75,7.50,7.50,10.00,7.96,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Seychelles,8.01,,,,5.54,9.12,10.00,10.00,,10.00,10.00,10.00,,,,,,,9.56,10.00,5.00,,7.50,,10.00,7.41,8.70,,,,,,,,10.00,10.00,4.67,6.00,,,,7.67,,,,,10.00,10.00,10.00,,10.00
Sierra Leone,7.17,4.68,3.99,3.58,4.08,9.23,10.00,10.00,7.50,10.00,10.00,9.50,1.20,10.00,5.00,5.00,5.00,5.40,8.04,10.00,10.00,5.00,8.33,,9.64,8.52,9.08,,,5.00,,,,,10.00,10.00,4.67,4.75,,,,7.35,,10.00,10.00,10.00,0.00,10.00,5.00,10.00,8.33
Singapore,7.86,7.40,8.47,8.26,8.04,9.90,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,5.00,5.00,8.33,9.41,10.00,5.00,10.00,8.33,10.00,8.86,4.21,7.69,5.00,2.50,5.00,2.50,2.50,3.33,3.61,10.00,10.00,2.00,4.50,10.00,10.00,5.00,7.36,7.00,10.00,10.00,10.00,0.00,10.00,5.00,10.00,8.00
Slovakia,8.76,,,,6.01,9.65,10.00,10.00,7.50,10.00,10.00,9.50,10.00,10.00,10.00,10.00,10.00,10.00,9.72,10.00,10.00,10.00,10.00,10.00,8.89,7.96,8.95,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,7.67,7.75,10.00,10.00,10.00,9.35,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Slovenia,9.02,8.01,6.42,6.55,6.99,9.52,10.00,10.00,7.50,10.00,10.00,9.50,10.00,10.00,10.00,10.00,10.00,10.00,9.67,10.00,10.00,10.00,10.00,10.00,9.84,7.54,9.13,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,8.00,8.00,10.00,10.00,10.00,9.43,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
South Africa,7.50,5.74,6.06,5.19,5.67,0.00,10.00,10.00,5.00,9.99,9.88,8.97,10.00,7.50,10.00,10.00,10.00,9.17,6.05,10.00,10.00,10.00,10.00,10.00,8.26,9.45,9.24,10.00,10.00,7.50,10.00,10.00,9.17,9.72,10.00,10.00,7.00,5.75,5.00,5.00,10.00,7.54,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
Spain,8.77,8.06,6.51,6.31,6.96,9.74,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,10.00,7.50,9.17,9.63,10.00,10.00,10.00,10.00,10.00,8.93,7.36,8.76,10.00,7.50,8.75,10.00,10.00,9.58,9.03,10.00,10.00,8.00,6.50,10.00,10.00,10.00,9.21,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
Sri Lanka,5.17,4.45,4.25,4.88,4.53,8.84,5.00,10.00,5.00,9.95,9.87,7.96,10.00,10.00,5.00,5.00,5.00,8.33,8.38,5.00,5.00,10.00,6.67,0.00,7.01,6.24,4.42,0.00,0.00,8.75,0.00,0.00,2.92,0.97,10.00,10.00,3.67,3.50,2.50,2.50,7.50,5.67,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.75
Suriname,7.91,4.14,5.11,5.39,4.88,5.73,10.00,10.00,,10.00,10.00,10.00,,,,,,,7.86,10.00,10.00,,10.00,,9.70,8.84,9.27,,,,,,,,10.00,10.00,7.33,6.75,,,,8.52,,,,,10.00,10.00,10.00,,10.00
Swaziland,6.53,,,,4.80,6.74,10.00,10.00,7.50,10.00,10.00,9.50,10.00,10.00,0.00,5.00,2.50,7.50,7.91,10.00,5.00,5.00,6.67,,9.11,7.82,8.47,,,,,,,,10.00,10.00,1.67,2.50,,,,6.04,10.00,5.00,0.00,2.50,0.00,10.00,5.00,5.00,5.63
Sweden,9.32,9.42,8.12,7.93,8.49,9.54,10.00,10.00,10.00,9.86,9.92,9.96,10.00,10.00,10.00,10.00,10.00,10.00,9.83,10.00,10.00,10.00,10.00,10.00,8.70,8.01,8.90,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.33,8.75,10.00,10.00,10.00,9.73,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,8.75
Switzerland,9.33,,,,8.39,9.72,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,7.50,9.17,9.63,10.00,10.00,10.00,10.00,10.00,8.43,7.41,8.61,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,8.67,9.00,10.00,10.00,10.00,9.67,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Syria,2.86,,,,2.93,9.14,0.00,0.00,0.00,0.00,0.00,0.00,10.00,7.50,0.00,0.00,0.00,5.83,4.99,0.00,0.00,0.00,0.00,,6.09,4.49,5.29,,,3.75,,,,,0.00,6.22,0.33,0.50,,,,1.76,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Taiwan,8.98,,,,7.11,,10.00,10.00,7.50,10.00,10.00,9.50,,,,,,,9.50,10.00,10.00,,10.00,10.00,9.33,8.24,9.19,10.00,10.00,8.75,10.00,10.00,9.58,9.86,10.00,10.00,7.00,7.75,10.00,10.00,10.00,9.25,,,,,10.00,10.00,10.00,,10.00
Tajikistan,5.93,,,,3.61,9.42,5.00,10.00,2.50,9.53,9.76,7.36,10.00,10.00,5.00,5.00,5.00,8.33,8.37,5.00,10.00,10.00,8.33,2.50,8.18,5.79,5.49,2.50,2.50,,0.00,2.50,1.25,2.08,10.00,10.00,1.33,2.00,5.00,5.00,2.50,5.12,,10.00,10.00,10.00,10.00,10.00,10.00,5.00,8.33
Tanzania,6.27,3.66,5.01,4.07,4.24,7.20,10.00,10.00,7.50,9.94,9.95,9.48,8.50,7.50,0.00,0.00,0.00,5.33,7.34,10.00,10.00,5.00,8.33,5.00,8.87,7.04,6.97,7.50,5.00,5.00,2.50,5.00,4.17,5.56,10.00,10.00,4.00,4.50,5.00,5.00,5.00,6.21,,5.00,5.00,5.00,0.00,10.00,5.00,10.00,6.67
Thailand,6.29,3.27,5.27,4.50,4.35,8.60,10.00,9.74,5.00,9.43,8.64,8.56,10.00,10.00,5.00,5.00,5.00,8.33,8.50,10.00,5.00,10.00,8.33,10.00,7.43,6.76,8.06,2.50,0.00,8.75,2.50,7.50,6.25,2.92,10.00,9.71,1.00,1.75,10.00,10.00,7.50,7.14,0.00,10.00,5.00,7.50,10.00,10.00,10.00,0.00,4.38
TimorLeste,5.62,,,,0.00,8.55,10.00,10.00,7.50,10.00,10.00,9.50,10.00,7.50,5.00,5.00,5.00,7.50,8.52,5.00,10.00,0.00,5.00,,8.76,6.99,7.88,,,,,,,,10.00,10.00,6.33,7.25,,,,8.40,,5.00,5.00,5.00,10.00,10.00,10.00,5.00,6.67
Togo,6.44,,,,3.95,6.34,10.00,10.00,7.50,10.00,10.00,9.50,9.60,10.00,5.00,5.00,5.00,8.20,8.01,0.00,10.00,10.00,6.67,7.50,9.56,7.59,8.22,7.50,5.00,5.00,10.00,7.50,7.50,6.67,10.00,10.00,3.67,4.75,10.00,7.50,10.00,7.99,,5.00,5.00,5.00,0.00,10.00,5.00,5.00,5.00
Trinidad and Tobago,7.04,4.92,6.10,4.02,5.02,0.00,10.00,10.00,7.50,10.00,10.00,9.50,10.00,10.00,5.00,5.00,5.00,8.33,5.94,10.00,10.00,10.00,10.00,,9.61,8.52,9.07,,,,,,,,10.00,10.00,7.67,7.00,,,,8.67,,10.00,10.00,10.00,0.00,0.00,0.00,10.00,6.67
Tunisia,6.55,4.50,4.87,4.59,4.65,8.77,10.00,10.00,5.00,6.95,7.85,7.96,10.00,7.50,0.00,0.00,0.00,5.83,7.52,10.00,10.00,5.00,8.33,7.50,7.90,5.23,6.88,7.50,7.50,7.50,7.50,7.50,7.50,7.50,10.00,10.00,4.33,5.50,10.00,7.50,10.00,8.19,,5.00,0.00,2.50,0.00,0.00,0.00,10.00,4.17
Turkey,6.71,3.66,4.55,4.00,4.07,8.26,10.00,6.17,2.50,7.92,7.20,6.76,10.00,10.00,10.00,10.00,10.00,10.00,8.34,10.00,10.00,10.00,10.00,5.00,7.21,4.91,5.71,7.50,5.00,6.25,5.00,2.50,4.58,5.69,6.19,8.22,1.33,2.50,7.50,7.50,5.00,5.46,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
Uganda,6.03,2.11,4.22,3.39,3.24,5.26,5.00,8.32,7.50,9.97,9.99,8.16,9.90,7.50,5.00,5.00,5.00,7.47,6.96,10.00,10.00,5.00,8.33,7.50,7.64,8.06,7.73,7.50,5.00,5.00,2.50,10.00,5.83,6.11,10.00,10.00,4.00,4.00,10.00,7.50,7.50,7.57,,5.00,5.00,5.00,0.00,0.00,0.00,10.00,5.00
Ukraine,6.53,5.10,4.72,3.97,4.60,8.27,0.00,0.37,0.00,4.35,3.79,1.70,10.00,7.50,10.00,10.00,10.00,9.17,6.38,5.00,10.00,10.00,8.33,5.00,7.73,7.45,6.73,7.50,7.50,5.00,5.00,2.50,4.17,6.39,7.79,10.00,5.67,4.00,7.50,7.50,7.50,7.14,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
United Arab Emirates,5.29,4.80,6.75,7.45,6.33,9.74,5.00,10.00,7.50,10.00,10.00,8.50,10.00,7.50,0.00,0.00,0.00,5.83,8.02,10.00,0.00,0.00,3.33,7.50,8.52,4.35,6.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,8.91,1.67,2.50,10.00,10.00,5.00,6.87,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United Kingdom,9.05,8.22,7.54,7.56,7.77,9.63,10.00,10.00,10.00,9.99,9.93,9.98,10.00,10.00,10.00,10.00,10.00,10.00,9.87,10.00,10.00,10.00,10.00,10.00,7.82,5.84,7.88,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,7.00,7.75,10.00,10.00,10.00,9.25,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
United States,8.83,8.09,6.53,6.78,7.13,8.05,10.00,9.93,10.00,9.95,9.97,9.97,10.00,10.00,10.00,10.00,10.00,10.00,9.34,10.00,10.00,10.00,10.00,10.00,7.35,8.47,8.61,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.38,10.00,8.00,7.50,10.00,10.00,10.00,9.27,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
Uruguay,8.43,7.75,7.30,5.85,6.97,6.63,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,5.00,5.00,8.33,8.32,10.00,10.00,10.00,10.00,7.50,10.00,9.22,8.91,7.50,10.00,8.75,5.00,7.50,7.08,8.19,10.00,10.00,8.00,7.25,10.00,7.50,10.00,8.96,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Venezuela,5.76,1.18,2.92,1.35,1.82,0.00,10.00,10.00,5.00,9.99,10.00,9.00,10.00,10.00,10.00,10.00,10.00,10.00,6.33,10.00,5.00,10.00,8.33,2.50,9.29,7.73,6.51,10.00,10.00,10.00,2.50,5.00,5.83,8.61,10.00,10.00,1.33,2.50,7.50,7.50,5.00,6.26,0.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,7.50
Vietnam,6.05,5.79,4.67,5.04,5.17,9.40,5.00,10.00,10.00,10.00,10.00,9.00,10.00,7.50,5.00,5.00,5.00,7.50,8.63,0.00,5.00,5.00,3.33,5.00,7.99,6.62,6.54,2.50,2.50,3.75,0.00,0.00,1.25,2.08,10.00,9.35,0.00,1.75,5.00,2.50,5.00,4.80,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.25
"Yemen, Rep.",3.02,,,,3.24,7.33,0.00,0.00,0.00,0.00,0.00,0.00,6.20,7.50,0.00,0.00,0.00,4.57,3.97,,,0.00,0.00,,6.90,6.11,6.51,,,,,,,,0.00,10.00,1.33,1.50,,,,3.21,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zambia,6.10,3.52,5.02,4.16,4.23,7.54,10.00,10.00,7.50,10.00,10.00,9.50,9.90,7.50,5.00,5.00,5.00,7.47,8.17,0.00,10.00,5.00,5.00,,8.91,6.81,7.86,,,7.50,,,,,10.00,10.00,3.67,4.25,,,,6.98,10.00,0.00,5.00,2.50,0.00,0.00,0.00,,4.17
Zimbabwe,5.17,2.19,4.59,3.62,3.47,6.99,5.00,10.00,5.00,10.00,10.00,8.00,10.00,7.50,5.00,5.00,5.00,7.50,7.50,0.00,5.00,10.00,5.00,2.50,9.36,7.27,6.38,2.50,2.50,2.50,2.50,2.50,2.50,2.50,10.00,10.00,2.00,3.75,2.50,2.50,7.50,5.46,0.00,,10.00,10.00,0.00,10.00,5.00,,5.00
